,original_summary,token,Porter_Stemmer,WordNet_Lemmatizer
171,Excellent All-purpose Mic,"['Excellent', 'All-purpose', 'Mic']","['excel', 'all-purpos', 'mic']","['Excellent', 'All-purpose', 'Mic']"
172,Good enough for professional use,"['Good', 'enough', 'for', 'professional', 'use']","['good', 'enough', 'for', 'profession', 'use']","['Good', 'enough', 'for', 'professional', 'use']"
173,Nice Surprise,"['Nice', 'Surprise']","['nice', 'surpris']","['Nice', 'Surprise']"
174,"Good value, not the best quality","['Good', 'value', ',', 'not', 'the', 'best', 'quality']","['good', 'valu', ',', 'not', 'the', 'best', 'qualiti']","['Good', 'value', ',', 'not', 'the', 'best', 'quality']"
175,"Cables are good for studio use, but","['Cables', 'are', 'good', 'for', 'studio', 'use', ',', 'but']","['cabl', 'are', 'good', 'for', 'studio', 'use', ',', 'but']","['Cables', 'are', 'good', 'for', 'studio', 'use', ',', 'but']"
176,Great deal for the money I paid!!!,"['Great', 'deal', 'for', 'the', 'money', 'I', 'paid', '!', '!', '!']","['great', 'deal', 'for', 'the', 'money', 'i', 'paid', '!', '!', '!']","['Great', 'deal', 'for', 'the', 'money', 'I', 'paid', '!', '!', '!']"
177,"Cheap, works; strong butyl rubber smell, thin cable.","['Cheap', ',', 'works', ';', 'strong', 'butyl', 'rubber', 'smell', ',', 'thin', 'cable', '.']","['cheap', ',', 'work', ';', 'strong', 'butyl', 'rubber', 'smell', ',', 'thin', 'cabl', '.']","['Cheap', ',', 'work', ';', 'strong', 'butyl', 'rubber', 'smell', ',', 'thin', 'cable', '.']"
178,Fair quality,"['Fair', 'quality']","['fair', 'qualiti']","['Fair', 'quality']"
179,Thin cables...,"['Thin', 'cables', '...']","['thin', 'cabl', '...']","['Thin', 'cable', '...']"
180,This Microphone is Great for Beginners,"['This', 'Microphone', 'is', 'Great', 'for', 'Beginners']","['thi', 'microphon', 'is', 'great', 'for', 'beginn']","['This', 'Microphone', 'is', 'Great', 'for', 'Beginners']"
181,Good for the Price,"['Good', 'for', 'the', 'Price']","['good', 'for', 'the', 'price']","['Good', 'for', 'the', 'Price']"
182,Good quality as you would expect from Shure,"['Good', 'quality', 'as', 'you', 'would', 'expect', 'from', 'Shure']","['good', 'qualiti', 'as', 'you', 'would', 'expect', 'from', 'shure']","['Good', 'quality', 'a', 'you', 'would', 'expect', 'from', 'Shure']"
183,"Great Mic, Great Deal!","['Great', 'Mic', ',', 'Great', 'Deal', '!']","['great', 'mic', ',', 'great', 'deal', '!']","['Great', 'Mic', ',', 'Great', 'Deal', '!']"
184,Buy This!,"['Buy', 'This', '!']","['buy', 'thi', '!']","['Buy', 'This', '!']"
185,Good Mic for the Price,"['Good', 'Mic', 'for', 'the', 'Price']","['good', 'mic', 'for', 'the', 'price']","['Good', 'Mic', 'for', 'the', 'Price']"
186,Unbiased review,"['Unbiased', 'review']","['unbias', 'review']","['Unbiased', 'review']"
187,Very Good Lead vocal microphone,"['Very', 'Good', 'Lead', 'vocal', 'microphone']","['veri', 'good', 'lead', 'vocal', 'microphon']","['Very', 'Good', 'Lead', 'vocal', 'microphone']"
188,Great so far.,"['Great', 'so', 'far', '.']","['great', 'so', 'far', '.']","['Great', 'so', 'far', '.']"
189,Good Mic,"['Good', 'Mic']","['good', 'mic']","['Good', 'Mic']"
190,Shure quality and construction but not quite equal to the SM58,"['Shure', 'quality', 'and', 'construction', 'but', 'not', 'quite', 'equal', 'to', 'the', 'SM58']","['shure', 'qualiti', 'and', 'construct', 'but', 'not', 'quit', 'equal', 'to', 'the', 'sm58']","['Shure', 'quality', 'and', 'construction', 'but', 'not', 'quite', 'equal', 'to', 'the', 'SM58']"
191,good mic,"['good', 'mic']","['good', 'mic']","['good', 'mic']"
192,Classic that delivers,"['Classic', 'that', 'delivers']","['classic', 'that', 'deliv']","['Classic', 'that', 'delivers']"
193,This is the best f... mic ever,"['This', 'is', 'the', 'best', 'f', '...', 'mic', 'ever']","['thi', 'is', 'the', 'best', 'f', '...', 'mic', 'ever']","['This', 'is', 'the', 'best', 'f', '...', 'mic', 'ever']"
194,Best all around for over 30 years!,"['Best', 'all', 'around', 'for', 'over', '30', 'years', '!']","['best', 'all', 'around', 'for', 'over', '30', 'year', '!']","['Best', 'all', 'around', 'for', 'over', '30', 'year', '!']"
195,Best in price range,"['Best', 'in', 'price', 'range']","['best', 'in', 'price', 'rang']","['Best', 'in', 'price', 'range']"
196,Industry Standard,"['Industry', 'Standard']","['industri', 'standard']","['Industry', 'Standard']"
197,Classic. the last of Shures good mics,"['Classic', '.', 'the', 'last', 'of', 'Shures', 'good', 'mics']","['classic', '.', 'the', 'last', 'of', 'shure', 'good', 'mic']","['Classic', '.', 'the', 'last', 'of', 'Shures', 'good', 'mics']"
198,"It's an SM57, what's there to say?","['It', ""'s"", 'an', 'SM57', ',', 'what', ""'s"", 'there', 'to', 'say', '?']","['it', ""'s"", 'an', 'sm57', ',', 'what', ""'s"", 'there', 'to', 'say', '?']","['It', ""'s"", 'an', 'SM57', ',', 'what', ""'s"", 'there', 'to', 'say', '?']"
199,The old stand by,"['The', 'old', 'stand', 'by']","['the', 'old', 'stand', 'by']","['The', 'old', 'stand', 'by']"
200,One Half Of Shure's Long Lasting Dynamic Duo,"['One', 'Half', 'Of', 'Shure', ""'s"", 'Long', 'Lasting', 'Dynamic', 'Duo']","['one', 'half', 'of', 'shure', ""'s"", 'long', 'last', 'dynam', 'duo']","['One', 'Half', 'Of', 'Shure', ""'s"", 'Long', 'Lasting', 'Dynamic', 'Duo']"
201,The standard,"['The', 'standard']","['the', 'standard']","['The', 'standard']"
202,good mic,"['good', 'mic']","['good', 'mic']","['good', 'mic']"
203,This Shure is a great mic,"['This', 'Shure', 'is', 'a', 'great', 'mic']","['thi', 'shure', 'is', 'a', 'great', 'mic']","['This', 'Shure', 'is', 'a', 'great', 'mic']"
204,Shure.....,"['Shure', '.....']","['shure', '.....']","['Shure', '.....']"
205,Industry standard for live performance microphones.,"['Industry', 'standard', 'for', 'live', 'performance', 'microphones', '.']","['industri', 'standard', 'for', 'live', 'perform', 'microphon', '.']","['Industry', 'standard', 'for', 'live', 'performance', 'microphone', '.']"
206,Good product for the price,"['Good', 'product', 'for', 'the', 'price']","['good', 'product', 'for', 'the', 'price']","['Good', 'product', 'for', 'the', 'price']"
207,standard,['standard'],['standard'],['standard']
208,Good for vocals only!,"['Good', 'for', 'vocals', 'only', '!']","['good', 'for', 'vocal', 'onli', '!']","['Good', 'for', 'vocal', 'only', '!']"
209,very very satisfied,"['very', 'very', 'satisfied']","['veri', 'veri', 'satisfi']","['very', 'very', 'satisfied']"
210,Great all-around vocal mic,"['Great', 'all-around', 'vocal', 'mic']","['great', 'all-around', 'vocal', 'mic']","['Great', 'all-around', 'vocal', 'mic']"
211,"Great product, great supplier","['Great', 'product', ',', 'great', 'supplier']","['great', 'product', ',', 'great', 'supplier']","['Great', 'product', ',', 'great', 'supplier']"
212,jazzgryl52,['jazzgryl52'],['jazzgryl52'],['jazzgryl52']
213,Quality at a good price.,"['Quality', 'at', 'a', 'good', 'price', '.']","['qualiti', 'at', 'a', 'good', 'price', '.']","['Quality', 'at', 'a', 'good', 'price', '.']"
214,Good all around vocal mic,"['Good', 'all', 'around', 'vocal', 'mic']","['good', 'all', 'around', 'vocal', 'mic']","['Good', 'all', 'around', 'vocal', 'mic']"
215,Good,['Good'],['good'],['Good']
216,Takes A Licking And Keeps On Ticking,"['Takes', 'A', 'Licking', 'And', 'Keeps', 'On', 'Ticking']","['take', 'a', 'lick', 'and', 'keep', 'on', 'tick']","['Takes', 'A', 'Licking', 'And', 'Keeps', 'On', 'Ticking']"
217,A Shure Bet.,"['A', 'Shure', 'Bet', '.']","['a', 'shure', 'bet', '.']","['A', 'Shure', 'Bet', '.']"
218,Industry Standard,"['Industry', 'Standard']","['industri', 'standard']","['Industry', 'Standard']"
219,good mic,"['good', 'mic']","['good', 'mic']","['good', 'mic']"
220,Good value for home recording,"['Good', 'value', 'for', 'home', 'recording']","['good', 'valu', 'for', 'home', 'record']","['Good', 'value', 'for', 'home', 'recording']"
221,Good cable for next to nothing,"['Good', 'cable', 'for', 'next', 'to', 'nothing']","['good', 'cabl', 'for', 'next', 'to', 'noth']","['Good', 'cable', 'for', 'next', 'to', 'nothing']"
222,Works as it should; for the person on a budget,"['Works', 'as', 'it', 'should', ';', 'for', 'the', 'person', 'on', 'a', 'budget']","['work', 'as', 'it', 'should', ';', 'for', 'the', 'person', 'on', 'a', 'budget']","['Works', 'a', 'it', 'should', ';', 'for', 'the', 'person', 'on', 'a', 'budget']"
223,DIED after 45 days of use,"['DIED', 'after', '45', 'days', 'of', 'use']","['die', 'after', '45', 'day', 'of', 'use']","['DIED', 'after', '45', 'day', 'of', 'use']"
224,Crap,['Crap'],['crap'],['Crap']
225,Does the job but there are better quality ones out there,"['Does', 'the', 'job', 'but', 'there', 'are', 'better', 'quality', 'ones', 'out', 'there']","['doe', 'the', 'job', 'but', 'there', 'are', 'better', 'qualiti', 'one', 'out', 'there']","['Does', 'the', 'job', 'but', 'there', 'are', 'better', 'quality', 'one', 'out', 'there']"
226,This gets 5 stars for value but doesn't use my favorite XLR end,"['This', 'gets', '5', 'stars', 'for', 'value', 'but', 'does', ""n't"", 'use', 'my', 'favorite', 'XLR', 'end']","['thi', 'get', '5', 'star', 'for', 'valu', 'but', 'doe', ""n't"", 'use', 'my', 'favorit', 'xlr', 'end']","['This', 'get', '5', 'star', 'for', 'value', 'but', 'doe', ""n't"", 'use', 'my', 'favorite', 'XLR', 'end']"
227,Very Satisfied,"['Very', 'Satisfied']","['veri', 'satisfi']","['Very', 'Satisfied']"
228,"Feels cheap, but does the job.","['Feels', 'cheap', ',', 'but', 'does', 'the', 'job', '.']","['feel', 'cheap', ',', 'but', 'doe', 'the', 'job', '.']","['Feels', 'cheap', ',', 'but', 'doe', 'the', 'job', '.']"
229,It Works,"['It', 'Works']","['it', 'work']","['It', 'Works']"
230,"Great product, Fast Service, Crazy Low Price","['Great', 'product', ',', 'Fast', 'Service', ',', 'Crazy', 'Low', 'Price']","['great', 'product', ',', 'fast', 'servic', ',', 'crazi', 'low', 'price']","['Great', 'product', ',', 'Fast', 'Service', ',', 'Crazy', 'Low', 'Price']"
231,Good cable,"['Good', 'cable']","['good', 'cabl']","['Good', 'cable']"
232,Decent XLR cable,"['Decent', 'XLR', 'cable']","['decent', 'xlr', 'cabl']","['Decent', 'XLR', 'cable']"
233,quality made,"['quality', 'made']","['qualiti', 'made']","['quality', 'made']"
234,Works well with guitar amps (if ou tighten the set screws),"['Works', 'well', 'with', 'guitar', 'amps', '(', 'if', 'ou', 'tighten', 'the', 'set', 'screws', ')']","['work', 'well', 'with', 'guitar', 'amp', '(', 'if', 'ou', 'tighten', 'the', 'set', 'screw', ')']","['Works', 'well', 'with', 'guitar', 'amp', '(', 'if', 'ou', 'tighten', 'the', 'set', 'screw', ')']"
235,Low Price for a Great Mic Cable,"['Low', 'Price', 'for', 'a', 'Great', 'Mic', 'Cable']","['low', 'price', 'for', 'a', 'great', 'mic', 'cabl']","['Low', 'Price', 'for', 'a', 'Great', 'Mic', 'Cable']"
236,XLR male to XLR female Microphone Cable - 15 feet,"['XLR', 'male', 'to', 'XLR', 'female', 'Microphone', 'Cable', '-', '15', 'feet']","['xlr', 'male', 'to', 'xlr', 'femal', 'microphon', 'cabl', '-', '15', 'feet']","['XLR', 'male', 'to', 'XLR', 'female', 'Microphone', 'Cable', '-', '15', 'foot']"
237,These cables are super!,"['These', 'cables', 'are', 'super', '!']","['these', 'cabl', 'are', 'super', '!']","['These', 'cable', 'are', 'super', '!']"
238,Good rack screws at a good price,"['Good', 'rack', 'screws', 'at', 'a', 'good', 'price']","['good', 'rack', 'screw', 'at', 'a', 'good', 'price']","['Good', 'rack', 'screw', 'at', 'a', 'good', 'price']"
239,They do the job,"['They', 'do', 'the', 'job']","['they', 'do', 'the', 'job']","['They', 'do', 'the', 'job']"
240,GOOD PRODUCT,"['GOOD', 'PRODUCT']","['good', 'product']","['GOOD', 'PRODUCT']"
241,It fits very good to rack holes,"['It', 'fits', 'very', 'good', 'to', 'rack', 'holes']","['it', 'fit', 'veri', 'good', 'to', 'rack', 'hole']","['It', 'fit', 'very', 'good', 'to', 'rack', 'hole']"
242,Yep- they are rack screws!,"['Yep-', 'they', 'are', 'rack', 'screws', '!']","['yep-', 'they', 'are', 'rack', 'screw', '!']","['Yep-', 'they', 'are', 'rack', 'screw', '!']"
243,Better than the 2nd hand rack screws,"['Better', 'than', 'the', '2nd', 'hand', 'rack', 'screws']","['better', 'than', 'the', '2nd', 'hand', 'rack', 'screw']","['Better', 'than', 'the', '2nd', 'hand', 'rack', 'screw']"
244,Nice Stylish Looking Screws for Rack Cabinets,"['Nice', 'Stylish', 'Looking', 'Screws', 'for', 'Rack', 'Cabinets']","['nice', 'stylish', 'look', 'screw', 'for', 'rack', 'cabinet']","['Nice', 'Stylish', 'Looking', 'Screws', 'for', 'Rack', 'Cabinets']"
245,Best rack screws for your money.,"['Best', 'rack', 'screws', 'for', 'your', 'money', '.']","['best', 'rack', 'screw', 'for', 'your', 'money', '.']","['Best', 'rack', 'screw', 'for', 'your', 'money', '.']"
246,Great,['Great'],['great'],['Great']
247,25 Screws.... why not 24?  Even numbers would be nice.,"['25', 'Screws', '....', 'why', 'not', '24', '?', 'Even', 'numbers', 'would', 'be', 'nice', '.']","['25', 'screw', '....', 'whi', 'not', '24', '?', 'even', 'number', 'would', 'be', 'nice', '.']","['25', 'Screws', '....', 'why', 'not', '24', '?', 'Even', 'number', 'would', 'be', 'nice', '.']"
248,As good as it gets,"['As', 'good', 'as', 'it', 'gets']","['as', 'good', 'as', 'it', 'get']","['As', 'good', 'a', 'it', 'get']"
249,Get Screwed!  That's what they are for!!,"['Get', 'Screwed', '!', 'That', ""'s"", 'what', 'they', 'are', 'for', '!', '!']","['get', 'screw', '!', 'that', ""'s"", 'what', 'they', 'are', 'for', '!', '!']","['Get', 'Screwed', '!', 'That', ""'s"", 'what', 'they', 'are', 'for', '!', '!']"
250,Like it!,"['Like', 'it', '!']","['like', 'it', '!']","['Like', 'it', '!']"
251,Best All Around Mic For Live Applications,"['Best', 'All', 'Around', 'Mic', 'For', 'Live', 'Applications']","['best', 'all', 'around', 'mic', 'for', 'live', 'applic']","['Best', 'All', 'Around', 'Mic', 'For', 'Live', 'Applications']"
252,Built like a hammer. Better than some hammers actually.,"['Built', 'like', 'a', 'hammer', '.', 'Better', 'than', 'some', 'hammers', 'actually', '.']","['built', 'like', 'a', 'hammer', '.', 'better', 'than', 'some', 'hammer', 'actual', '.']","['Built', 'like', 'a', 'hammer', '.', 'Better', 'than', 'some', 'hammer', 'actually', '.']"
253,My Favorite Mic,"['My', 'Favorite', 'Mic']","['my', 'favorit', 'mic']","['My', 'Favorite', 'Mic']"
254,Better Than SM58,"['Better', 'Than', 'SM58']","['better', 'than', 'sm58']","['Better', 'Than', 'SM58']"
255,Beyond fantastic!,"['Beyond', 'fantastic', '!']","['beyond', 'fantast', '!']","['Beyond', 'fantastic', '!']"
256,Rock Solid,"['Rock', 'Solid']","['rock', 'solid']","['Rock', 'Solid']"
257,Best tremolo pedal for the money,"['Best', 'tremolo', 'pedal', 'for', 'the', 'money']","['best', 'tremolo', 'pedal', 'for', 'the', 'money']","['Best', 'tremolo', 'pedal', 'for', 'the', 'money']"
258,Not bad but the Cool Cat line is $4 more and a better build,"['Not', 'bad', 'but', 'the', 'Cool', 'Cat', 'line', 'is', '$', '4', 'more', 'and', 'a', 'better', 'build']","['not', 'bad', 'but', 'the', 'cool', 'cat', 'line', 'is', '$', '4', 'more', 'and', 'a', 'better', 'build']","['Not', 'bad', 'but', 'the', 'Cool', 'Cat', 'line', 'is', '$', '4', 'more', 'and', 'a', 'better', 'build']"
259,Gets the job done!,"['Gets', 'the', 'job', 'done', '!']","['get', 'the', 'job', 'done', '!']","['Gets', 'the', 'job', 'done', '!']"
260,These old time food pedals are the best!,"['These', 'old', 'time', 'food', 'pedals', 'are', 'the', 'best', '!']","['these', 'old', 'time', 'food', 'pedal', 'are', 'the', 'best', '!']","['These', 'old', 'time', 'food', 'pedal', 'are', 'the', 'best', '!']"
261,Built cheap - Sounds great!,"['Built', 'cheap', '-', 'Sounds', 'great', '!']","['built', 'cheap', '-', 'sound', 'great', '!']","['Built', 'cheap', '-', 'Sounds', 'great', '!']"
262,sounds great,"['sounds', 'great']","['sound', 'great']","['sound', 'great']"
263,Great,['Great'],['great'],['Great']
264,Always great Kyser,"['Always', 'great', 'Kyser']","['alway', 'great', 'kyser']","['Always', 'great', 'Kyser']"
265,Great price.,"['Great', 'price', '.']","['great', 'price', '.']","['Great', 'price', '.']"
266,"It's cheap, easy, sturdy, and works","['It', ""'s"", 'cheap', ',', 'easy', ',', 'sturdy', ',', 'and', 'works']","['it', ""'s"", 'cheap', ',', 'easi', ',', 'sturdi', ',', 'and', 'work']","['It', ""'s"", 'cheap', ',', 'easy', ',', 'sturdy', ',', 'and', 'work']"
267,Pretty and works nicely,"['Pretty', 'and', 'works', 'nicely']","['pretti', 'and', 'work', 'nice']","['Pretty', 'and', 'work', 'nicely']"
268,The way a cap should be...,"['The', 'way', 'a', 'cap', 'should', 'be', '...']","['the', 'way', 'a', 'cap', 'should', 'be', '...']","['The', 'way', 'a', 'cap', 'should', 'be', '...']"
269,this was recommended to me by my teacher,"['this', 'was', 'recommended', 'to', 'me', 'by', 'my', 'teacher']","['thi', 'wa', 'recommend', 'to', 'me', 'by', 'my', 'teacher']","['this', 'wa', 'recommended', 'to', 'me', 'by', 'my', 'teacher']"
270,easy to use & beautiful,"['easy', 'to', 'use', '&', 'beautiful']","['easi', 'to', 'use', '&', 'beauti']","['easy', 'to', 'use', '&', 'beautiful']"
271,Looks Great,"['Looks', 'Great']","['look', 'great']","['Looks', 'Great']"
272,Great 6-string Capo that works on 12-string as well,"['Great', '6-string', 'Capo', 'that', 'works', 'on', '12-string', 'as', 'well']","['great', '6-string', 'capo', 'that', 'work', 'on', '12-string', 'as', 'well']","['Great', '6-string', 'Capo', 'that', 'work', 'on', '12-string', 'a', 'well']"
273,Solid Construction - Works well,"['Solid', 'Construction', '-', 'Works', 'well']","['solid', 'construct', '-', 'work', 'well']","['Solid', 'Construction', '-', 'Works', 'well']"
274,These are my favorites,"['These', 'are', 'my', 'favorites']","['these', 'are', 'my', 'favorit']","['These', 'are', 'my', 'favorite']"
275,Awesome product Looks Great on my American Flag themed guitar!,"['Awesome', 'product', 'Looks', 'Great', 'on', 'my', 'American', 'Flag', 'themed', 'guitar', '!']","['awesom', 'product', 'look', 'great', 'on', 'my', 'american', 'flag', 'theme', 'guitar', '!']","['Awesome', 'product', 'Looks', 'Great', 'on', 'my', 'American', 'Flag', 'themed', 'guitar', '!']"
276,Works well,"['Works', 'well']","['work', 'well']","['Works', 'well']"
277,The Best Capo I've Ever Used!,"['The', 'Best', 'Capo', 'I', ""'ve"", 'Ever', 'Used', '!']","['the', 'best', 'capo', 'i', ""'ve"", 'ever', 'use', '!']","['The', 'Best', 'Capo', 'I', ""'ve"", 'Ever', 'Used', '!']"
278,This Gold Capo matches the gold keys of my guitar,"['This', 'Gold', 'Capo', 'matches', 'the', 'gold', 'keys', 'of', 'my', 'guitar']","['thi', 'gold', 'capo', 'match', 'the', 'gold', 'key', 'of', 'my', 'guitar']","['This', 'Gold', 'Capo', 'match', 'the', 'gold', 'key', 'of', 'my', 'guitar']"
